Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,A1,A2,F7,F8,T3,T4,T5,T6,Fz,Cz,Pz
-0.03,5.29,3.51,-0.75,1.92,-1.46,-1.47,-1.07,-1.31,-5.85,3.37,3.12,4.94,0.63,6.03,-0.15,2.7,-3.42,-0.2,0.04,-0.48
1.54,3.82,4.04,-1.0,0.54,-1.71,-2.86,-2.88,-2.89,-6.64,2.7,2.69,4.0,-0.23,2.38,-0.04,1.74,-4.54,1.03,-0.17,-2.61
4.35,6.5,6.49,0.49,1.07,-1.57,-2.78,-1.66,-1.76,-4.7,6.37,1.31,7.23,1.25,6.66,-0.83,3.49,-3.12,3.09,-0.41,-2.02
4.14,7.44,6.81,0.71,0.95,-2.74,-3.47,-1.04,-2.37,-3.5,5.04,5.61,9.08,1.22,8.91,-1.95,2.09,-1.63,3.44,-0.79,-2.03
3.65,6.25,5.81,0.97,1.7,-2.42,-3.39,-1.18,-2.21,-3.33,8.01,6.17,8.24,3.04,6.91,-0.52,2.39,-1.7,2.13,-0.72,-2.26
3.53,8.33,5.35,2.61,1.69,-1.95,-2.44,-0.87,-0.69,-2.16,10.55,4.12,8.04,4.84,10.63,0.64,4.49,-1.76,2.79,-1.57,-1.27
1.51,9.65,3.64,2.93,1.12,-1.27,-4.02,0.7,-0.5,0.8,10.05,7.31,7.49,7.18,7.76,3.38,2.25,0.1,0.17,-3.3,-1.97
1.66,7.98,3.82,2.94,0.48,-0.83,-2.71,2.93,2.44,3.26,9.48,10.38,6.37,4.42,5.3,2.44,3.69,3.16,1.7,-1.53,-0.3
1.85,7.83,4.94,3.9,-0.98,0.24,-4.48,1.41,-0.62,-0.4,6.76,8.56,3.95,3.65,2.06,5.39,0.16,-0.19,1.79,-0.51,-2.14
3.68,7.57,6.63,3.46,-0.35,-0.1,-5.53,0.58,-2.36,-1.0,5.15,2.7,3.48,3.95,0.75,6.66,-2.38,-0.84,4.05,0.05,-3.03
6.06,10.48,7.98,4.48,0.85,-1.29,-2.68,1.22,1.25,1.5,4.77,4.75,6.26,4.05,6.51,0.3,0.3,-1.37,5.88,1.45,-0.53
4.47,9.73,7.43,2.52,1.58,-1.5,-2.63,2.21,1.9,2.76,4.76,4.79,5.09,4.41,6.1,2.05,2.3,-1.27,4.44,0.04,-1.58
4.71,11.18,6.02,2.67,1.47,-1.78,-0.85,3.63,4.68,3.22,9.63,6.71,6.71,5.42,8.05,0.51,4.26,-0.68,3.55,-1.2,0.55
5.06,10.86,5.02,3.62,0.27,-0.73,-1.23,5.01,5.39,5.46,10.17,11.42,6.32,6.27,6.07,2.5,6.03,3.55,4.31,-1.63,0.76
-0.24,6.06,2.13,2.39,-1.27,-0.01,-2.48,4.06,3.14,3.71,5.02,8.52,2.04,3.29,5.94,2.46,2.63,3.61,-0.2,-1.23,-1.22
4.37,6.43,5.37,3.12,1.49,-0.35,-1.15,4.44,3.34,3.28,8.29,6.69,4.03,2.51,3.43,1.13,3.94,2.86,3.76,0.58,1.84
3.04,6.62,6.27,0.93,0.97,-0.77,-2.25,2.98,2.48,3.2,6.8,4.5,4.98,2.01,5.06,2.21,1.71,2.51,2.77,1.39,1.42
